date,daily_events
6/21/2020,6
6/22/2020,30
6/23/2020,15
6/24/2020,26
6/25/2020,12
6/27/2020,3
6/28/2020,10
6/29/2020,30
6/30/2020,8
7/1/2020,11
7/2/2020,35
7/3/2020,14
7/4/2020,11
7/5/2020,5
7/6/2020,22
7/7/2020,7
7/8/2020,3
7/9/2020,27
7/10/2020,18
7/11/2020,10
7/12/2020,19
7/13/2020,40
7/14/2020,14
7/15/2020,10
7/16/2020,5
7/17/2020,28
7/18/2020,10
7/19/2020,18
7/20/2020,40
7/21/2020,37
7/22/2020,25
7/23/2020,17
7/25/2020,29
7/26/2020,11
7/27/2020,1
7/28/2020,5
7/29/2020,2
8/1/2020,13
8/4/2020,3
8/5/2020,4
8/6/2020,18
8/7/2020,8
8/8/2020,1
8/9/2020,11
8/10/2020,6
8/11/2020,1
8/13/2020,1
8/14/2020,4
8/15/2020,1
8/18/2020,10
8/19/2020,10
8/20/2020,36
8/22/2020,4
8/23/2020,2
8/24/2020,30
8/25/2020,25
8/26/2020,34
8/27/2020,28
8/28/2020,3
8/29/2020,1
9/3/2020,2
9/4/2020,8
9/5/2020,21
9/6/2020,2
9/7/2020,2
9/8/2020,7
9/10/2020,6
9/12/2020,20
9/13/2020,48
9/14/2020,5
9/15/2020,6
9/16/2020,37
9/17/2020,11
9/18/2020,37
9/19/2020,2
9/20/2020,3
9/21/2020,7
9/22/2020,62
9/23/2020,2
9/24/2020,7
9/25/2020,4
9/26/2020,25
9/27/2020,32
9/29/2020,4
9/30/2020,8
10/1/2020,14
10/2/2020,4
10/4/2020,3
10/6/2020,25
10/7/2020,27
10/8/2020,11
10/9/2020,5
10/11/2020,35
10/12/2020,19
10/13/2020,9
10/14/2020,24
10/15/2020,50
10/16/2020,45
10/17/2020,32
10/18/2020,15
10/19/2020,30
10/20/2020,1
10/21/2020,4
10/22/2020,19
10/23/2020,23
10/24/2020,76
10/25/2020,11
10/26/2020,28
10/27/2020,1
10/28/2020,4
10/29/2020,4
11/1/2020,10
11/2/2020,6
11/3/2020,36
11/4/2020,4
11/5/2020,5
11/6/2020,45
11/7/2020,29
11/8/2020,3
11/9/2020,1
11/10/2020,7
11/11/2020,3
11/12/2020,5
11/13/2020,2
11/14/2020,26
11/15/2020,34
11/16/2020,58
11/17/2020,71
11/18/2020,23
11/19/2020,76
11/20/2020,5
11/21/2020,5
11/22/2020,16
11/23/2020,23
11/24/2020,28
11/25/2020,4
11/26/2020,20
11/27/2020,33
11/28/2020,30
11/30/2020,6
12/1/2020,11
12/2/2020,20
12/3/2020,25
12/4/2020,28
12/5/2020,27
12/6/2020,9
12/7/2020,51
12/8/2020,74
12/9/2020,62
12/10/2020,16
12/11/2020,69
12/12/2020,20
12/13/2020,31
12/14/2020,78
12/15/2020,47
12/16/2020,50
12/17/2020,54
12/18/2020,50
12/19/2020,12
12/20/2020,8
12/21/2020,14
12/22/2020,89
12/23/2020,81
12/24/2020,24
12/25/2020,11
12/26/2020,29
12/27/2020,20
12/28/2020,26
12/29/2020,28
12/30/2020,17
12/31/2020,8
1/1/2021,38
1/2/2021,7
1/3/2021,37
1/4/2021,20
1/5/2021,24
1/6/2021,16
1/7/2021,73
1/8/2021,53
1/9/2021,41
1/10/2021,48
1/11/2021,11
1/12/2021,10
1/13/2021,3
1/14/2021,23
1/15/2021,3
1/16/2021,25
1/17/2021,5
1/18/2021,35
1/20/2021,9
1/21/2021,25
1/22/2021,12
1/23/2021,21
1/25/2021,5
1/26/2021,20
1/27/2021,25
1/28/2021,9
1/29/2021,24
1/30/2021,25
1/31/2021,27
2/1/2021,10
2/2/2021,21
2/3/2021,7
2/4/2021,7
2/5/2021,11
2/6/2021,14
2/7/2021,4
2/10/2021,1
2/11/2021,25
2/12/2021,2
2/15/2021,13
2/17/2021,17
2/18/2021,15
2/19/2021,4
2/20/2021,6
2/21/2021,2
2/22/2021,15
2/23/2021,19
2/25/2021,31
2/26/2021,7
2/27/2021,8
2/28/2021,13
3/1/2021,18
3/2/2021,11
3/3/2021,5
3/5/2021,12
3/6/2021,3
3/7/2021,42
3/8/2021,12
3/9/2021,12
3/10/2021,33
3/11/2021,27
3/12/2021,11
3/13/2021,4
3/14/2021,9
3/15/2021,11
3/16/2021,19
3/17/2021,26
3/18/2021,10
3/19/2021,25
3/20/2021,43
3/21/2021,2
3/22/2021,30
3/23/2021,8
3/24/2021,31
3/25/2021,5
3/26/2021,4
3/27/2021,15
3/28/2021,1
3/29/2021,17
3/31/2021,12
4/1/2021,2
4/3/2021,24
4/4/2021,41
4/5/2021,21
4/6/2021,8
4/7/2021,60
4/8/2021,5
4/9/2021,13
4/10/2021,10
4/11/2021,7
4/12/2021,5
4/13/2021,7
4/14/2021,14
4/15/2021,5
4/16/2021,10
4/17/2021,28
4/18/2021,3
4/19/2021,13
4/20/2021,4
4/21/2021,18
4/22/2021,30
4/23/2021,40
4/24/2021,14
4/25/2021,5
4/26/2021,23
4/27/2021,38
4/28/2021,25
4/29/2021,10
4/30/2021,8
5/1/2021,30
5/2/2021,63
5/3/2021,32
5/4/2021,47
5/5/2021,10
5/6/2021,33
5/7/2021,41
5/8/2021,14
5/9/2021,16
5/10/2021,7
5/11/2021,26
5/12/2021,8
5/13/2021,8
5/15/2021,28
5/16/2021,14
5/17/2021,3
5/18/2021,58
5/19/2021,20
5/20/2021,16
5/21/2021,6
5/22/2021,6
5/24/2021,6
5/25/2021,10
5/26/2021,44
5/27/2021,45
5/28/2021,6
5/29/2021,15
5/30/2021,20
5/31/2021,8
6/1/2021,8
6/2/2021,32
6/3/2021,26
6/4/2021,8
6/5/2021,74
6/6/2021,44
6/7/2021,5
6/8/2021,28
6/9/2021,38
6/10/2021,11
6/11/2021,2
6/12/2021,2
6/13/2021,5
6/14/2021,10
6/15/2021,39
6/16/2021,4
6/17/2021,7
6/18/2021,6
6/19/2021,19
6/20/2021,2
6/21/2021,12
6/22/2021,16
6/23/2021,9
6/24/2021,23
6/25/2021,5
6/26/2021,49
6/27/2021,5
6/30/2021,9
7/1/2021,25
7/2/2021,3
7/3/2021,5
7/5/2021,18
7/6/2021,19
7/7/2021,2
7/8/2021,4
7/10/2021,12
7/11/2021,4
7/12/2021,28
7/13/2021,16
7/14/2021,6
7/15/2021,3
7/16/2021,33
7/17/2021,11
7/18/2021,19
7/19/2021,10
7/20/2021,34
7/21/2021,28
7/22/2021,17
7/23/2021,12
7/24/2021,18
7/26/2021,11
7/27/2021,12
7/28/2021,50
7/29/2021,31
7/30/2021,14
7/31/2021,39
8/1/2021,8
8/2/2021,32
8/3/2021,12
8/4/2021,22
8/5/2021,39
8/6/2021,6
8/7/2021,2
8/8/2021,16
8/9/2021,11
8/10/2021,16
8/11/2021,22
8/12/2021,35
8/13/2021,29
8/14/2021,9
8/15/2021,26
8/16/2021,22
8/17/2021,13
8/18/2021,43
8/19/2021,28
8/20/2021,28
8/21/2021,40
8/22/2021,14
8/23/2021,10
8/24/2021,70
8/25/2021,43
8/26/2021,17
8/27/2021,38
8/28/2021,40
8/29/2021,55
8/30/2021,33
8/31/2021,21
9/1/2021,25
9/2/2021,10
9/3/2021,15
9/4/2021,14
9/5/2021,10
9/6/2021,12
9/7/2021,1
9/8/2021,19
9/9/2021,8
9/10/2021,13
9/11/2021,19
9/12/2021,16
9/13/2021,3
9/14/2021,34
9/15/2021,18
9/16/2021,20
9/17/2021,20
9/18/2021,4
9/19/2021,42
9/20/2021,14
9/21/2021,39
9/22/2021,11
9/23/2021,2
9/24/2021,1
9/25/2021,3
9/26/2021,24
9/27/2021,5
9/29/2021,4
9/30/2021,6
10/1/2021,7
10/3/2021,31
10/4/2021,5
10/5/2021,17
10/6/2021,17
10/8/2021,9
10/9/2021,12
10/10/2021,68
10/11/2021,44
10/12/2021,46
10/13/2021,68
10/14/2021,42
10/15/2021,68
10/16/2021,36
10/17/2021,55
10/18/2021,40
10/19/2021,26
10/20/2021,16
10/21/2021,4
10/22/2021,29
10/23/2021,47
10/24/2021,29
10/25/2021,32
10/26/2021,27
10/27/2021,32
10/28/2021,40
10/29/2021,57
10/30/2021,24
10/31/2021,34
11/1/2021,51
11/2/2021,71
11/3/2021,53
11/4/2021,17
11/5/2021,22
11/6/2021,17
11/7/2021,18
11/8/2021,24
11/9/2021,13
11/10/2021,17
11/11/2021,38
11/12/2021,108
11/13/2021,55
11/14/2021,48
11/15/2021,36
11/16/2021,70
11/17/2021,3
11/18/2021,34
11/19/2021,68
11/20/2021,46
11/21/2021,79
11/22/2021,60
11/23/2021,72
11/24/2021,22
11/25/2021,12
11/26/2021,47
11/27/2021,63
11/28/2021,50
11/29/2021,18
11/30/2021,26
12/1/2021,41
12/2/2021,83
12/3/2021,89
12/4/2021,24
12/5/2021,48
12/6/2021,15
12/7/2021,26
12/9/2021,22
12/10/2021,22
12/11/2021,76
12/12/2021,54
12/13/2021,41
12/14/2021,48
12/15/2021,60
12/16/2021,21
12/17/2021,23
12/18/2021,33
12/19/2021,76
12/20/2021,57
12/21/2021,41
12/22/2021,68
12/23/2021,12
12/24/2021,34
12/25/2021,44
12/26/2021,18
12/27/2021,37
12/28/2021,32
12/29/2021,34
12/30/2021,12
12/31/2021,35
1/1/2022,5
1/2/2022,36
1/3/2022,25
1/4/2022,32
1/5/2022,14
1/6/2022,11
1/7/2022,14
1/8/2022,11
1/9/2022,74
1/10/2022,31
1/11/2022,30
1/12/2022,9
1/13/2022,27
1/14/2022,41
1/15/2022,21
1/16/2022,13
1/17/2022,21
1/18/2022,25
1/19/2022,15
1/20/2022,44
1/21/2022,58
1/22/2022,44
1/23/2022,25
1/24/2022,32
1/25/2022,57
1/26/2022,34
1/27/2022,13
1/28/2022,31
1/29/2022,14
1/30/2022,34
1/31/2022,83
2/1/2022,25
2/2/2022,5
2/3/2022,32
2/4/2022,41
2/5/2022,51
2/6/2022,50
2/7/2022,20
2/8/2022,10
2/9/2022,14
2/10/2022,22
2/11/2022,22
2/12/2022,15
2/13/2022,11
2/14/2022,13
2/15/2022,27
2/16/2022,34
2/17/2022,20
2/18/2022,47
2/19/2022,34
2/20/2022,38
2/21/2022,51
2/22/2022,43
2/23/2022,38
2/24/2022,11
2/25/2022,25
2/26/2022,3
2/27/2022,4
2/28/2022,18
3/1/2022,8
3/2/2022,23
3/3/2022,3
3/4/2022,20
3/5/2022,17
3/6/2022,8
3/7/2022,13
3/8/2022,10
3/9/2022,8
3/10/2022,33
3/11/2022,6
3/12/2022,36
3/13/2022,54
3/14/2022,31
3/15/2022,20
3/16/2022,39
3/17/2022,10
3/18/2022,9
3/19/2022,4
3/20/2022,3
3/21/2022,7
3/22/2022,3
3/23/2022,3
3/25/2022,11
3/26/2022,3
3/27/2022,15
3/28/2022,16
3/29/2022,40
3/30/2022,13
3/31/2022,20
4/1/2022,4
4/2/2022,12
4/3/2022,98
4/4/2022,50
4/5/2022,45
4/6/2022,92
4/7/2022,43
4/8/2022,49
4/9/2022,46
4/10/2022,64
4/11/2022,53
4/12/2022,42
4/13/2022,96
4/14/2022,95
4/15/2022,25
4/16/2022,44
4/17/2022,48
4/18/2022,22
4/19/2022,49
4/20/2022,63
4/21/2022,72
4/22/2022,10
4/23/2022,28
4/24/2022,20
4/25/2022,46
4/26/2022,23
4/27/2022,39
4/28/2022,26
4/29/2022,30
4/30/2022,43
5/1/2022,15
5/2/2022,24
5/3/2022,5
5/4/2022,25
5/5/2022,40
5/6/2022,153
5/7/2022,50
5/8/2022,30
5/9/2022,29
5/10/2022,30
5/11/2022,39
5/12/2022,29
5/13/2022,7
5/14/2022,8
5/15/2022,13
5/16/2022,21
5/17/2022,29
5/18/2022,11
5/19/2022,8
5/20/2022,17
5/21/2022,25
5/22/2022,48
5/23/2022,8
5/24/2022,20
5/25/2022,36
5/26/2022,49
5/27/2022,45
5/28/2022,46
5/29/2022,49
5/30/2022,19
5/31/2022,27
6/1/2022,40
6/2/2022,23
6/3/2022,69
6/4/2022,99
6/5/2022,86
6/6/2022,93
6/7/2022,96
6/8/2022,31
6/9/2022,40
6/10/2022,71
6/11/2022,33
6/12/2022,13
6/13/2022,90
6/14/2022,63
6/15/2022,53
6/16/2022,60
6/17/2022,70
6/18/2022,36
6/19/2022,35
6/21/2022,14
6/22/2022,81
6/23/2022,53
6/24/2022,46
6/25/2022,63
6/26/2022,41
6/27/2022,40
6/28/2022,27
6/29/2022,51
6/30/2022,21
7/1/2022,81
7/2/2022,74
7/3/2022,58
7/4/2022,67
7/5/2022,8
7/6/2022,26
7/7/2022,52
7/8/2022,96
7/9/2022,69
7/10/2022,27
7/11/2022,11
7/12/2022,35
7/13/2022,64
7/14/2022,55
7/15/2022,57
7/16/2022,11
7/17/2022,96
7/18/2022,72
7/19/2022,11
7/20/2022,16
7/21/2022,105
7/22/2022,18
7/23/2022,24
7/24/2022,66
7/25/2022,32
7/26/2022,20
7/27/2022,55
7/28/2022,60
7/29/2022,110
7/30/2022,60
7/31/2022,64
8/1/2022,29
8/2/2022,94
8/3/2022,48
8/4/2022,48
8/5/2022,58
8/6/2022,38
8/7/2022,70
8/8/2022,66
8/9/2022,95
8/10/2022,55
8/11/2022,36
8/12/2022,22
8/13/2022,14
8/14/2022,34
8/15/2022,54
8/16/2022,29
8/17/2022,53
8/18/2022,29
8/19/2022,50
8/20/2022,35
8/21/2022,16
8/22/2022,33
8/23/2022,52
8/24/2022,27
8/25/2022,44
8/26/2022,79
8/27/2022,43
8/28/2022,69
8/29/2022,27
8/30/2022,44
8/31/2022,46
9/1/2022,70
9/2/2022,44
9/3/2022,87
9/4/2022,37
9/5/2022,65
9/6/2022,25
9/7/2022,50
9/8/2022,63
9/9/2022,73
9/10/2022,57
9/11/2022,60
9/12/2022,7
9/13/2022,36
9/14/2022,72
9/15/2022,46
9/16/2022,33
9/17/2022,27
9/18/2022,1
9/19/2022,24
9/20/2022,31
9/21/2022,52
9/22/2022,31
9/23/2022,12
9/24/2022,69
9/25/2022,27
9/26/2022,28
9/27/2022,23
9/28/2022,39
9/29/2022,28
9/30/2022,22
10/1/2022,38
10/2/2022,26
10/6/2022,36
10/7/2022,41
10/8/2022,34
10/9/2022,20
10/10/2022,31
10/11/2022,28
10/12/2022,56
10/13/2022,38
10/14/2022,57
10/15/2022,39
10/16/2022,18
10/17/2022,43
10/18/2022,53
10/19/2022,56
10/20/2022,34
10/21/2022,14
10/22/2022,21
10/23/2022,23
10/24/2022,7
10/25/2022,26
10/26/2022,33
10/28/2022,22
10/29/2022,2
10/30/2022,17
10/31/2022,6
11/1/2022,26
11/2/2022,50
11/3/2022,28
